timestamp,gridEye,dht_temperature
2025-05-27T19:00:09.116243,"[26, 26.75, 26.5, 27.25, 27.25, 27, 26.25, 26.5, 26.75, 26.5, 26.75, 27, 26.75, 26.75, 27, 26.25, 26.75, 26.5, 26.75, 27, 26.75, 26.75, 26.5, 26.5, 26.5, 26.5, 26.5, 26.5, 26.75, 26.75, 26.75, 26.5, 26.75, 27, 27.25, 26.75, 26.75, 26.75, 26.75, 26.75, 26.25, 26.25, 26.75, 27, 26.5, 27, 26.25, 26.25, 26.25, 25.75, 25.75, 26.75, 27.25, 26.5, 26.75, 26.5, 26, 26, 25.75, 26.25, 26, 26.25, 26.75, 26.25]",0.1
2025-05-27T19:00:09.416198,"[26.25, 26.25, 26.5, 27, 27, 26.5, 26, 26.5, 26.5, 26.25, 27, 26.5, 26.5, 26.5, 26.75, 26.5, 26.75, 26.5, 27, 26.75, 27, 26.75, 26.5, 26, 26.75, 26.25, 26, 26.25, 26.75, 26.5, 26.25, 26, 26.25, 26.5, 26.5, 26.5, 26.5, 26.75, 26.25, 26.25, 26.25, 26.5, 26.25, 26.75, 26.25, 27, 26.25, 26.25, 26, 25.5, 26, 26.5, 26.75, 26.5, 26.5, 26.5, 25.75, 25.75, 25.5, 25.5, 25.75, 26, 26.25, 25.75]",0.1
2025-05-27T19:00:09.700227,"[26.25, 26.75, 26.25, 26.75, 26.75, 27, 26.75, 26.5, 26.75, 26.25, 26.5, 26.75, 26.75, 26.5, 26.75, 27, 26.75, 26.5, 26.75, 27, 27.25, 26.75, 26.25, 26.25, 26.25, 26.25, 26.25, 26.75, 26.5, 27, 26.5, 26, 26.75, 26.5, 27, 26.5, 26.75, 26, 26.5, 26.5, 26.25, 26.25, 26.75, 27, 26.25, 26.5, 26, 26.5, 26, 26, 26.25, 26, 26.5, 26.75, 26.75, 26.25, 26.25, 26, 26, 26, 26.25, 26.5, 25.5, 25.75]",0.1
2025-05-27T19:00:09.982715,"[26.75, 26.5, 26.25, 27, 27, 27.25, 26.5, 26.75, 26.75, 26.5, 26.75, 27, 26.5, 26.75, 26.75, 26.75, 27, 26.25, 26.75, 26.75, 26.75, 26.5, 26.25, 26.25, 27, 26.5, 26.5, 26.25, 27, 26.75, 26.5, 25.75, 26.5, 26.75, 26.5, 26.5, 27, 27, 26.75, 26.5, 26.25, 26.25, 26.75, 27, 26.25, 26.25, 26.5, 26.75, 25.75, 26, 26, 26.75, 26.75, 26.5, 26.75, 26, 26.75, 26.25, 25.75, 26.25, 26.75, 26.25, 26, 26.5]",0.1
2025-05-27T19:00:10.253627,"[26.5, 26.75, 26.25, 27, 27.25, 26.75, 26.25, 27, 26.75, 26.25, 26.5, 26.5, 26.75, 27, 26.5, 26.5, 26.25, 26.75, 26.75, 26.75, 27, 27, 26.5, 26.5, 26.5, 26.75, 26.5, 26.5, 26.75, 26.75, 26.5, 26.25, 26.5, 26.5, 26.75, 26.75, 27, 26.25, 26.5, 27, 26, 26.5, 27, 26.75, 26.25, 26.75, 26.25, 26.5, 26, 26, 25.75, 26.5, 27, 27, 26.25, 26.25, 26.25, 25.75, 25.75, 25.75, 26, 26.25, 26.25, 26]",0.1
2025-05-27T19:00:10.591285,"[26.25, 26.5, 26.5, 27.25, 27.25, 27.25, 26.25, 26.75, 26.5, 26.25, 26.75, 26.75, 26.75, 26.75, 26.75, 26.5, 27.25, 26.25, 26.75, 26.5, 26.75, 26.5, 26.5, 26.25, 26.25, 26.25, 26.5, 26.75, 26.75, 26.75, 26.5, 26.75, 26.75, 26.75, 26.75, 26.5, 26.75, 26.5, 26.75, 26.75, 25.75, 26.75, 26.5, 26.75, 26, 27, 26.25, 26.5, 26, 25.75, 26, 27.25, 27, 26.75, 26.75, 26.5, 25.75, 25.75, 26, 25.75, 26.5, 26.5, 26.25, 25.75]",0.1
2025-05-27T19:00:10.909915,"[26.5, 26.75, 26.5, 27.25, 26.75, 27, 26.5, 27.5, 27, 26.5, 26.75, 26.75, 26.75, 26.75, 26.5, 26.5, 26.75, 26.5, 27, 27, 27.25, 26.75, 27, 26.75, 26.75, 26.5, 26.5, 26.5, 26.5, 26.5, 26.25, 26.5, 26.75, 26.75, 26.75, 26.75, 27, 26.75, 26.5, 26.75, 25.75, 26.25, 26.5, 26.5, 26.5, 26.75, 26.25, 26.5, 26.25, 25.75, 26.5, 26.5, 26.75, 27, 26, 26.75, 26.25, 26, 26, 26, 26, 26.25, 26.25, 25.75]",0.1
2025-05-27T19:00:11.188839,"[26.5, 27, 26.75, 27.5, 27.25, 27, 26, 26.75, 26.5, 26.5, 27, 26.5, 26.75, 26.5, 27, 26.5, 26.5, 27, 27, 26.75, 26.5, 26.75, 27, 26.75, 27, 26.5, 26, 26, 26.75, 26.5, 26.5, 26.5, 26.75, 26.25, 27, 26.5, 27, 26.5, 26.75, 26.75, 26.25, 26, 26.75, 26.75, 26.5, 27, 26.75, 26.5, 26.25, 26, 26.25, 26.25, 26.5, 26.75, 26.5, 26.5, 26.25, 26, 26.25, 26.75, 26.25, 26.5, 26, 26]",0.1
2025-05-27T19:00:11.483023,"[26.5, 26.75, 26.25, 27, 27, 26.75, 26.5, 26.5, 27, 26, 26.5, 26.5, 26.75, 26.25, 27, 26.5, 26.5, 26.75, 26.75, 26.75, 26.75, 26.5, 26.25, 26.25, 26.5, 26, 26.5, 26.25, 26.5, 26.5, 26.75, 26.75, 26.5, 26.25, 26.75, 26.25, 26.5, 26.5, 26.75, 26.75, 25.75, 26, 26.75, 26.5, 26.5, 26.5, 26.5, 26.75, 26.25, 26.25, 26.25, 26.25, 26.5, 26.5, 26.75, 26.75, 25.75, 25.75, 25.5, 26, 26.5, 26.75, 26.25, 26]",0.1
2025-05-27T19:00:11.761994,"[26.25, 26.25, 26.25, 26.75, 26.75, 26.75, 26.5, 27, 27.25, 26.25, 26.75, 27, 27, 26.75, 27, 26.25, 26.5, 26.25, 26.5, 27, 27.25, 26.75, 26.5, 26.5, 27, 26.25, 26.25, 26.75, 26.75, 27.25, 26.5, 27.25, 26.5, 26.75, 26.75, 27, 26.75, 26.75, 26.5, 26.5, 26, 26, 26.75, 27, 26.75, 27, 26.5, 26.25, 25.75, 26.25, 26, 26.75, 27, 26.5, 26.5, 26.5, 26.25, 26, 26, 25.5, 26.75, 26.25, 26.75, 26]",0.1
