record_id,timestamp,dht_temperature,gridEye_array,current_people_count,net_crossing_count,current_objects_count
1,2025-05-27T19:15:55.638672,28.400000000000002,"[27.5, 27.25, 27.25, 28.0, 27.75, 27.25, 27.5, 27.75, 27.25, 26.5, 27.0, 27.0, 27.25, 27.5, 27.25, 27.75, 27.5, 27.0, 27.25, 27.25, 27.75, 27.5, 27.0, 27.0, 27.75, 27.25, 26.75, 26.75, 27.25, 27.25, 27.25, 27.5, 27.0, 27.5, 28.0, 27.0, 27.5, 27.25, 27.25, 28.0, 27.0, 26.75, 27.5, 27.25, 27.25, 27.25, 27.0, 27.5, 27.0, 27.25, 26.75, 27.5, 27.25, 27.5, 27.5, 28.25, 27.25, 27.5, 27.0, 27.0, 27.5, 27.0, 27.75, 27.5]",0,0,0
2,2025-05-27T19:15:55.766661,28.400000000000002,"[26.75, 27.0, 26.75, 27.25, 27.5, 27.0, 27.0, 27.25, 27.5, 27.0, 27.25, 26.75, 27.0, 27.25, 27.0, 27.25, 26.5, 26.75, 27.0, 27.0, 27.5, 27.0, 26.75, 27.0, 27.25, 27.0, 27.25, 27.25, 26.75, 27.0, 27.0, 27.0, 27.0, 27.0, 27.5, 27.0, 27.25, 27.25, 27.0, 27.5, 26.75, 27.25, 27.25, 27.25, 27.25, 27.25, 27.0, 27.5, 26.75, 26.75, 26.5, 27.25, 27.25, 27.5, 27.0, 27.75, 27.25, 27.5, 26.5, 26.75, 27.5, 27.25, 27.75, 28.0]",0,0,0
3,2025-05-27T19:15:55.902945,28.400000000000002,"[26.75, 27.0, 26.75, 27.25, 27.5, 27.0, 27.0, 27.25, 27.5, 27.0, 27.25, 26.75, 27.0, 27.25, 27.0, 27.25, 26.5, 26.75, 27.0, 27.0, 27.5, 27.0, 26.75, 27.0, 27.25, 27.0, 27.25, 27.25, 26.75, 27.0, 27.0, 27.0, 27.0, 27.0, 27.5, 27.0, 27.25, 27.25, 27.0, 27.5, 26.75, 27.25, 27.25, 27.25, 27.25, 27.25, 27.0, 27.5, 26.75, 26.75, 26.5, 27.25, 27.25, 27.5, 27.0, 27.75, 27.25, 27.5, 26.5, 26.75, 27.5, 27.25, 27.75, 28.0]",0,0,0
4,2025-05-27T19:15:56.022039,28.400000000000002,"[27.25, 27.0, 26.75, 27.25, 27.25, 27.25, 27.5, 27.5, 27.25, 26.75, 27.0, 27.0, 27.5, 27.25, 27.25, 27.5, 27.25, 27.5, 27.25, 27.25, 27.5, 27.0, 27.25, 27.0, 27.5, 27.0, 26.75, 26.75, 27.0, 27.5, 27.25, 27.75, 27.25, 27.25, 27.5, 27.25, 27.25, 27.5, 27.0, 27.25, 26.75, 26.75, 27.25, 27.25, 27.25, 27.75, 27.0, 27.5, 27.0, 27.0, 27.25, 27.5, 28.0, 28.0, 27.25, 27.25, 27.75, 26.75, 26.75, 27.75, 27.0, 27.5, 27.75, 27.5]",0,0,0
5,2025-05-27T19:15:56.153700,28.400000000000002,"[27.0, 27.0, 27.0, 27.25, 27.75, 26.75, 27.0, 27.5, 27.5, 27.0, 26.75, 27.0, 27.25, 27.0, 27.25, 27.5, 27.5, 27.0, 26.75, 27.25, 27.25, 27.25, 27.0, 27.0, 27.25, 27.0, 26.75, 26.75, 27.5, 26.75, 27.25, 27.5, 27.25, 27.5, 27.25, 27.25, 27.25, 27.25, 27.0, 27.5, 26.5, 27.0, 27.0, 27.5, 27.25, 27.5, 27.25, 27.75, 27.0, 26.5, 26.75, 27.25, 27.5, 27.5, 27.25, 27.5, 26.5, 27.0, 26.5, 26.75, 26.75, 27.25, 27.25, 28.0]",0,0,0
6,2025-05-27T19:15:56.277781,28.400000000000002,"[27.0, 27.0, 27.0, 27.25, 27.75, 26.75, 27.0, 27.5, 27.5, 27.0, 26.75, 27.0, 27.25, 27.0, 27.25, 27.5, 27.5, 27.0, 26.75, 27.25, 27.25, 27.25, 27.0, 27.0, 27.25, 27.0, 26.75, 26.75, 27.5, 26.75, 27.25, 27.5, 27.25, 27.5, 27.25, 27.25, 27.25, 27.25, 27.0, 27.5, 26.5, 27.0, 27.0, 27.5, 27.25, 27.5, 27.25, 27.75, 27.0, 26.5, 26.75, 27.25, 27.5, 27.5, 27.25, 27.5, 26.5, 27.0, 26.5, 26.75, 26.75, 27.25, 27.25, 28.0]",0,0,0
7,2025-05-27T19:15:56.401737,28.400000000000002,"[27.0, 27.0, 27.0, 27.25, 27.75, 26.75, 27.0, 27.5, 27.5, 27.0, 26.75, 27.0, 27.25, 27.0, 27.25, 27.5, 27.5, 27.0, 26.75, 27.25, 27.25, 27.25, 27.0, 27.0, 27.25, 27.0, 26.75, 26.75, 27.5, 26.75, 27.25, 27.5, 27.25, 27.5, 27.25, 27.25, 27.25, 27.25, 27.0, 27.5, 26.5, 27.0, 27.0, 27.5, 27.25, 27.5, 27.25, 27.75, 27.0, 26.5, 26.75, 27.25, 27.5, 27.5, 27.25, 27.5, 26.5, 27.0, 26.5, 26.75, 26.75, 27.25, 27.25, 28.0]",0,0,0
8,2025-05-27T19:15:56.525459,28.400000000000002,"[27.25, 27.25, 27.0, 27.0, 27.25, 27.25, 26.75, 28.0, 28.0, 26.75, 27.25, 27.0, 27.25, 27.25, 27.0, 27.5, 27.5, 27.0, 27.25, 27.5, 27.25, 27.25, 27.0, 27.0, 28.0, 27.25, 27.0, 27.0, 27.0, 27.25, 27.25, 27.25, 27.25, 27.5, 27.5, 27.25, 27.5, 27.25, 27.0, 27.75, 27.0, 26.75, 27.25, 27.5, 27.0, 27.5, 27.5, 27.25, 27.0, 26.75, 26.75, 27.5, 27.5, 27.75, 27.25, 27.75, 27.5, 27.25, 26.75, 26.5, 27.75, 28.0, 27.5, 27.5]",0,0,0
9,2025-05-27T19:15:56.646028,28.400000000000002,"[27.25, 27.25, 27.0, 27.0, 27.25, 27.25, 26.75, 28.0, 28.0, 26.75, 27.25, 27.0, 27.25, 27.25, 27.0, 27.5, 27.5, 27.0, 27.25, 27.5, 27.25, 27.25, 27.0, 27.0, 28.0, 27.25, 27.0, 27.0, 27.0, 27.25, 27.25, 27.25, 27.25, 27.5, 27.5, 27.25, 27.5, 27.25, 27.0, 27.75, 27.0, 26.75, 27.25, 27.5, 27.0, 27.5, 27.5, 27.25, 27.0, 26.75, 26.75, 27.5, 27.5, 27.75, 27.25, 27.75, 27.5, 27.25, 26.75, 26.5, 27.75, 28.0, 27.5, 27.5]",0,0,0
10,2025-05-27T19:15:56.773570,28.400000000000002,"[27.25, 27.5, 27.0, 27.25, 27.25, 27.25, 26.75, 27.25, 27.75, 26.5, 27.25, 27.0, 27.5, 27.0, 27.0, 27.5, 27.25, 26.75, 27.25, 27.0, 27.25, 27.0, 27.0, 27.25, 27.5, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.75, 27.25, 27.5, 27.75, 27.0, 27.5, 27.25, 27.0, 27.25, 26.75, 26.75, 27.25, 27.25, 26.75, 27.75, 27.0, 27.75, 27.0, 26.75, 26.75, 27.0, 27.25, 27.25, 27.5, 28.0, 26.75, 26.75, 26.5, 27.0, 27.5, 27.25, 27.25, 27.25]",0,0,0
11,2025-05-27T19:15:56.895030,28.400000000000002,"[27.25, 27.5, 27.0, 27.25, 27.25, 27.25, 26.75, 27.25, 27.75, 26.5, 27.25, 27.0, 27.5, 27.0, 27.0, 27.5, 27.25, 26.75, 27.25, 27.0, 27.25, 27.0, 27.0, 27.25, 27.5, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.75, 27.25, 27.5, 27.75, 27.0, 27.5, 27.25, 27.0, 27.25, 26.75, 26.75, 27.25, 27.25, 26.75, 27.75, 27.0, 27.75, 27.0, 26.75, 26.75, 27.0, 27.25, 27.25, 27.5, 28.0, 26.75, 26.75, 26.5, 27.0, 27.5, 27.25, 27.25, 27.25]",0,0,0
12,2025-05-27T19:15:57.022517,28.400000000000002,"[27.0, 27.25, 26.75, 27.75, 27.5, 27.5, 27.0, 27.5, 27.75, 27.25, 27.25, 27.0, 27.25, 27.25, 27.25, 27.5, 27.5, 27.25, 27.5, 27.5, 27.5, 27.25, 27.0, 27.5, 28.25, 27.5, 27.5, 27.0, 27.5, 27.25, 27.25, 27.25, 27.5, 27.75, 27.75, 27.25, 27.75, 27.5, 27.5, 27.75, 26.5, 27.0, 26.5, 27.0, 27.25, 27.5, 27.25, 27.75, 27.5, 27.0, 26.75, 27.25, 28.0, 28.0, 27.5, 27.75, 27.5, 27.25, 26.75, 26.75, 27.5, 27.5, 27.75, 28.0]",0,0,0
13,2025-05-27T19:15:57.149196,28.400000000000002,"[27.0, 27.25, 26.75, 27.75, 27.5, 27.5, 27.0, 27.5, 27.75, 27.25, 27.25, 27.0, 27.25, 27.25, 27.25, 27.5, 27.5, 27.25, 27.5, 27.5, 27.5, 27.25, 27.0, 27.5, 28.25, 27.5, 27.5, 27.0, 27.5, 27.25, 27.25, 27.25, 27.5, 27.75, 27.75, 27.25, 27.75, 27.5, 27.5, 27.75, 26.5, 27.0, 26.5, 27.0, 27.25, 27.5, 27.25, 27.75, 27.5, 27.0, 26.75, 27.25, 28.0, 28.0, 27.5, 27.75, 27.5, 27.25, 26.75, 26.75, 27.5, 27.5, 27.75, 28.0]",0,0,0
14,2025-05-27T19:15:57.269464,28.400000000000002,"[26.75, 27.25, 27.0, 27.5, 27.5, 27.25, 26.75, 27.5, 27.0, 26.5, 27.0, 26.75, 27.25, 27.0, 27.25, 27.25, 27.25, 27.25, 27.25, 27.0, 27.0, 27.25, 27.0, 27.25, 27.5, 26.75, 26.5, 26.75, 27.25, 27.25, 27.25, 27.25, 27.0, 27.5, 27.5, 27.0, 27.25, 27.0, 27.0, 27.5, 26.0, 26.75, 27.25, 27.25, 27.0, 27.5, 27.5, 27.25, 26.5, 27.25, 26.75, 27.25, 27.75, 27.5, 27.25, 27.5, 27.25, 27.25, 26.75, 27.25, 27.25, 27.5, 27.75, 28.0]",0,0,0
